description,label,bridge
Offshore positioning services,52220,TSZTY
Lighthouse authority,52220,TSZTZ
Pier operation (not amusement),52220,TSZUQ
Pier owner or authority (not amusement),52220,TSZUR
Pilotage activities,52220,TSZUS
Port authority,52220,TSZUT
Port of london authority,52220,TSZUU
Salvage activities supporting water transport activities,52220,TSZUV
Service activities incidental to water transportation,52220,TSZUW
Shore base (sea transport),52220,TSZUX
Terminal facilities operation (water transport),52220,TSZUY
Passenger terminal services,52220,TSZUZ
Tug boat service for inland waterways,52220,TSZVQ
Tug boat service for offshore installations,52220,TSZVR
Tug boat service for sea barge or off-shore well,52220,TSZVS
Tug boat service for sea barges on domestic coastal routes,52220,TSZVT
Tug lessee or owner for inland waterways service,52220,TSZVU
Tug owner or lessee for in port service or salvage,52220,TSZVV
Tuition for ships' licences for commercial certificates and permits,85320,TSZVW
Vessel laying up and storage services,52220,TSZVX
Vessel registration services,52220,TSZVY
Trinity house,52220,TSZVZ
Waterway locks operation,52220,TSZWQ
Wharfinger,52220,TSZWR
Wreck raising,52220,TSZWS
Aerodrome,52230,TSZWT
Air terminal operated by airline,52230,TSZWU
Air traffic control activities,52230,TSZWV
Air traffic control centre,52230,TSZWW
Air transport supporting activities,52230,TSZWX
Aircraft refuelling services,52230,TSZWY
Water transport (supporting activities),52220,TSZWZ
Airport activities,52230,TSZXQ
Airport fire fighting and fire-prevention services,52230,TSZXR
Airway terminals operation,52230,TSZXS
Communication centre (civil air),52230,TSZXU
Flying school (for airline pilots),85320,TSZXV
Flying schools for commercial airline pilots,85320,TSZXW
Local authority municipal airport,52230,TSZXX
Airfield ground service activities,52230,TSZXZ
Terminal facilities operation (air transport),52230,TSZYQ
Chartered rail travel,79110,TSZYS
Excursion agency,79110,TSZYT
Packaged tour sales,79110,TSZYV
Passage agent,79110,TSZYW
Passenger agent (not transport authority),79110,TSZYX
Service activities incidental to air transportation,52230,TSZYZ
Goods handling station operation,52219,TSZZQ
Lessee of tolls,52219,TSZZR
Local authority car parks,52219,TSZZS
Motive power depot (railway),52219,TSZZT
Motorway maintenance unit,52219,TSZZU
Operation of bus and coach passenger facilities at bus and coach stations,52213,TSZZV
Operation of rail passenger facilities at railway stations,52212,TSZZX
"Other service activities incidental to land transportation, n.e.c.",52219,TSZZY
Garage (parking),52219,TSZZZ
Private investigator activities,80300,TTQQQ
Alarm monitoring activities,80200,TTQQR
Armoured car services,80100,TTQQS
Bodyguard activities,80100,TTQQT
Burglar and fire alarm monitoring including installation and maintenance,80200,TTQQU
Dog training for security purposes,80100,TTQQV
Fingerprinting services,80100,TTQQW
Guard activities,80100,TTQQX
Installation and repair of electronic locking devices with monitoring,80200,TTQQY
Private detective,80300,TTQQZ
Installation and repair of mechanical locking devices with monitoring,80200,TTQRQ
Installation and repair of mechanical safes and security vaults with monitoring,80200,TTQRR
Monitoring activities by mechanical or electrical protective devices,80200,TTQRS
Monitoring of electronic security alarm systems,80200,TTQRT
Polygraph services,80100,TTQRU
Private security activities,80100,TTQRV
Security activities (not government),80100,TTQRW
"Security consultancy for industrial, household and public services",74909,TTQRX
Security delivery of prisoners,80100,TTQRY
Installation and repair of electronic safes security vaults with monitoring,80200,TTQRZ
Security shredding of information on any media,80100,TTQSQ
Security systems service activities,80200,TTQSR
Security transport of valuables and money,80100,TTQSS
Store detective activities,80100,TTQST
Street patrol,80100,TTQSU
Surveillance activities,80100,TTQSV
Watchman activities,80100,TTQSW
Building cleaning activities,81210,TTQSX
"Cleaning service for factory, office or shop",81210,TTQSY
Security guard services,80100,TTQSZ
Contract cleaning service,81210,TTQTQ
Factory cleaning contractor,81210,TTQTR
General cleaning of buildings,81210,TTQTS
General cleaning of houses or apartments,81210,TTQTT
Industrial cleaning,81210,TTQTU
Janitorial services,81210,TTQTV
Office cleaning contractor,81210,TTQTW
Window cleaning,81221,TTQTX
Window cleaning services,81221,TTQTY
Commercial cleaner,81210,TTQTZ
Disinfecting of dwellings and other buildings,81291,TTQUQ
"Exterminating of insects, rodents and other pests (except agricultural)",81291,TTQUR
Fumigation services,81291,TTQUS
Local authority pest control department,81291,TTQUT
Pest control services (except agricultural),81291,TTQUU
Pest destruction service (not especially for agriculture),81291,TTQUV
Rat catcher (not especially for agriculture),81291,TTQUW
Rodent destroying (not agricultural),81291,TTQUX
Ship disinfecting and exterminating activities,81291,TTQUY
Disinfecting and exterminating services,81291,TTQUZ
Train disinfecting and exterminating activities,81291,TTQVQ
Vermin destroying (not agricultural),81291,TTQVR
Wood worm preventative treatment service,81291,TTQVS
Wood rot preventative treatment service,81291,TTQVT
Cleaning of heat and air ducts,81222,TTQVU
Cleaning services for computer rooms,81222,TTQVV
Cleaning services for hospitals,81222,TTQVW
Decontamination services,81222,TTQVX
Reservoir and tank cleaning,81222,TTQVY
Ship fumigating and scrubbing,81291,TTQVZ
Specialised cleaning services,81222,TTQWQ
Sterilisation of objects or premises (e.g. operating theatres),81222,TTQWR
Telephone cleaning and sterilising service,81222,TTQWS
Telephone sterilising,81222,TTQWT
Ventilation ducts cleaning,81222,TTQWU
Boiler cleaning and scaling,81223,TTQWV
Chimney cleaning,81223,TTQWW
Fire-places cleaning,81223,TTQWX
Furnace and chimney cleaning services,81223,TTQWY
Specialised cleaning of tanks and reservoirs,81222,TTQWZ
Incinerator cleaning,81223,TTQXQ
Stove cleaning,81223,TTQXR
Aeroplane cleaning (non-specialised),81299,TTQXS
Bottle cleaning,81299,TTQXT
Bus cleaning (non- specialised),81299,TTQXU
Cleaning of industrial machinery,81229,TTQXV
Cleaning of the inside of road and sea tankers,81299,TTQXW
Cleaning services n.e.c.,81299,TTQXX
Exterior cleaning of buildings,81229,TTQXY
Furnace cleaning,81223,TTQXZ
Other building and industrial cleaning activities,81229,TTQYQ
Swimming pool cleaning and maintenance activities,81299,TTQYR
Train cleaning (non-specialised),81299,TTQYS
Transport equipment cleaning (non-specialised),81299,TTQYT
Underground train cleaning (non-specialised),81299,TTQYU
Passport photography,74201,TTQYV
Photographic studio,74201,TTQYW
Portrait photographer,74201,TTQYX
Portrait photographic activities,74201,TTQYY
Industrial equipment cleaning (non-specialised),81299,TTQYZ
On-line employment placement agencies,78109,TTQZQ
Other activities of employment placement agencies,78109,TTQZR
Personnel provision (temporary employment agency),78200,TTQZS
Sales management recruitment consultant,78109,TTQZT
Supply and provision of personnel (temporary employment agency),78200,TTQZU
Teaching personnel (supply) (temporary employment agency),78200,TTQZV
Internet abuse monitoring,80300,TTQZX
Investigation activities,80300,TTQZY
Office support personnel (supply) (temporary employment agency),78200,TTQZZ
Film processing,74203,TTRQQ
Motion picture developing,74203,TTRQR
One hour photo shop (not part of camera shop),74203,TTRQS
Photograph colouring,74203,TTRQT
Photograph copying,74203,TTRQU
Photograph developing,74203,TTRQV
Photograph enlarging,74203,TTRQW
Photograph finishing,74203,TTRQX
Photograph mounting,74203,TTRQY
Film copying (not motion picture),74203,TTRQZ
Photographic colour printing,74203,TTRRQ
"Restoration, copying and retouching of photographs",74203,TTRRR
Slide and negative duplicating,74203,TTRRS
Slide mounting,74203,TTRRT
Fashion photography,74209,TTRRU
Photographic activities not elsewhere classified,74209,TTRRV
"Photography for commercials, publishers or tourism purposes",74209,TTRRX
Real estate photography,74209,TTRRY
Photograph printing,74203,TTRRZ
"Videoing of live events such as weddings, graduations, conventions, fashion shows, etc.",74209,TTRSQ
Aerosol filling on a fee or contract basis,82920,TTRSS
Beverage bottling on a fee or contract basis,82920,TTRST
Blister packaging foil-covered packaging,82920,TTRSU
Bottling on a fee or contract basis,82920,TTRSV
Food bottling and packaging on a fee or contract basis,82920,TTRSW
"Labelling, stamping and imprinting on a fee or contract basis",82920,TTRSX
Liquids bottling on a fee or contract basis,82920,TTRSY
Street photographer,74209,TTRSZ
Packaging activities on a fee or contract basis,82920,TTRTQ
Packaging of solids,82920,TTRTR
Packing of medicaments into edible capsules,82920,TTRTS
Parcel packing and gift wrapping on a fee or contract basis,82920,TTRTT
Security packaging of pharmaceutical preparations,82920,TTRTU
Blueprinting,82190,TTRTV
Circular addressing,82190,TTRTW
Combined office administrative service activities,82110,TTRTX
"Combined office admin. services (e.g. reception, billing, record keeping, personnel, mail services)",82110,TTRTY
Packaging activities,82920,TTRTZ
Court reporting services,82990,TTRUQ
Direct mailing,82190,TTRUR
Document copying service,82190,TTRUS
Document preparation,82190,TTRUT
Duplicating service,82190,TTRUU
Envelope addressing service,82190,TTRUV
"Envelope stuffing, sealing and mailing service including for advertising",82190,TTRUW
Interpreter,74300,TTRUX
Letter or resume writing,82190,TTRUY
Combined secretarial activities,82110,TTRUZ
Multigraphing,82190,TTRVQ
Photocopying,82190,TTRVR
"Photocopying, document preparation and other specialised office support activities",82190,TTRVS
Proof reading,82190,TTRVT
Public stenography services,82990,TTRVU
Reprographic activities (other than printing),82190,TTRVV
Shorthand writing,82190,TTRVW
"Transcribing services from tapes, discs, etc.",74300,TTRVX
"Transcription of documents, and other secretarial services",82190,TTRVY
Mailing pre-sorting,82190,TTRVZ
Translation and interpretation activities,74300,TTRWQ
"Typing, word processing and desk top publication service",82190,TTRWR
Activities of call centres,82200,TTRWS
Call centres undertaking market research or public opinion polling,82200,TTRWT
Call centres working on a fee or contract basis,82200,TTRWU
Inbound call centres,82200,TTRWV
Outbound call centres,82200,TTRWW
Activities of collection agencies,82911,TTRWX
Translation activities,74300,TTRWZ
Credit bureau,82912,TTRXQ
Credit rating,82912,TTRXR
Debt collector,82911,TTRXS
Financial and credit reporting,82912,TTRXT
Boot and shoe designing,74100,TTRXU
Calico printers' designing,74100,TTRXV
Clothes designer,74100,TTRXW
Costume designing,74100,TTRXX
Fashion designing,74100,TTRXY
Bill collecting,82911,TTRXZ
Graphic designer,74100,TTRYQ
Interior decor design,74100,TTRYR
Interior decorator activities,74100,TTRYS
Interior designers,74100,TTRYT
Jewellery designing,74100,TTRYU
Lace designing,74100,TTRYV
Specialised design activities,74100,TTRYW
Textile or wallpaper printing designing,74100,TTRYX
Activities of exhibition and fair organisers,82301,TTRYY
Furniture designing,74100,TTRYZ
School photography,74201,TTRZQ
Aerial photography (other than for cartographic and spatial activity purposes),74202,TTRZR
Downhole photography services,74202,TTRZS
Medical and biological photography,74202,TTRZT
Micro-filming activities,74202,TTRZU
Other specialist photography,74202,TTRZV
Photomicrography,74202,TTRZW
Underwater photography services,74202,TTRZX
X-ray and other speciality photography activities,74202,TTRZY
Portrait photography,74201,TTRZZ
Agents and agencies in placement of plays with publishers producers,74909,TTSQQ
Agents and agencies in placement of artworks with publishers,74909,TTSQR
Agents and agencies in placement of books with publishers,74909,TTSQS
Agents and agencies in sports attractions,74909,TTSQT
Agricultural showground,82990,TTSQU
Agricultural valuer,74909,TTSQV
Appraiser and valuer (not insurance or real estate),74909,TTSQW
Band agency,74909,TTSQX
Bar code imprinting services,82990,TTSQY
Agents and agencies in placement of photographs publishers,74909,TTSQZ
Business activities n.e.c.,82990,TTSRQ
Business brokerage activities,74909,TTSRR
Business brokerage and appraisal activities,74909,TTSRS
Business transfer agent,74909,TTSRT
Copyright acquisition and registration for musical compositions,59200,TTSRU
Franchisers,74909,TTSRY
Broadcasting transmission rights agent,82990,TTSRZ
"Gas, water and electricity meter reading",82990,TTSSQ
Independent auctioneers,82990,TTSSR
Information bureau (not tourist),82990,TTSSS
Information search services on a fee or contract basis,63990,TTSST
Leasing of intellectual property and the like (not copyrighted works e.g. books and software),77400,TTSSV
Leasing of non-financial intangible assets,77400,TTSSW
Literary agency,74909,TTSSX
Loyalty programme administration,82990,TTSSY
Fundraising organisation services on a contract or fee basis,82990,TTSSZ
Meter reading on a fee or contract basis,82990,TTSTQ
Other business support service activities n.e.c.,82990,TTSTR
Other information service activities n.e.c.,63990,TTSTS
"Other professional, scientific and technical activities n.e.c.",74909,TTSTT
Parking meter coin collection services,82990,TTSTU
Partnership agent,74909,TTSTV
Patent broker,74909,TTSTW
Public record searching,82990,TTSTX
Publicans' broker,74909,TTSTY
Luncheon voucher company,82990,TTSTZ
Receiving royalties or licensing fees for the use of brand names,77400,TTSUQ
Receiving royalties or licensing fees for the use of franchise agreements,77400,TTSUR
Receiving royalties or licensing fees for the use of mineral exploration and evaluation,77400,TTSUS
Receiving royalties or licensing fees for the use of patented entities,77400,TTSUT
Receiving royalties or licensing fees for the use of trademarks or service marks,77400,TTSUU
Repossession services,82990,TTSUV
Stock control activities,82990,TTSUW
Telephone based information services,63990,TTSUX
Theatrical agency,74909,TTSUY
Real-time closed captioning,82990,TTSUZ
Valuer (any trade except real estate),74909,TTSVQ
Variety agency,74909,TTSVR
Central government administration,84110,TTSVS
Customs administration,84110,TTSVT
Duty and tax collection,84110,TTSVU
Economic and social planning administration (public sector),84110,TTSVV
Executive and legislative administration (public sector),84110,TTSVW
Financial services (public sector),84110,TTSVX
Fiscal services (public sector),84110,TTSVY
General public administration activities,84110,TTSWQ
Local government administration,84110,TTSWR
Public debt services administration,84110,TTSWS
Public fund services administration,84110,TTSWT
Statistical services (public sector),84110,TTSWU
Tax violation investigation services,84110,TTSWV
Taxation schemes,84110,TTSWW
Trust territory programme administration (public sector),84110,TTSWX
Community amenity services administration (public sector),84120,TTSWY
Fundamental research administration (public sector),84110,TTSWZ
Dental service administration (public sector),84120,TTSXQ
Educational services administration (public sector),84120,TTSXR
Environmental services administration (public sector),84120,TTSXS
Health care services administration (public sector),84120,TTSXT
Housing services administration (public sector),84120,TTSXU
"Pollution standards, dissemination and information services (public sector)",84120,TTSXW
Public administration of education programmes,84120,TTSXX
Public administration of environment programmes,84120,TTSXY
Cultural services administration (public sector),84120,TTSXZ
Public administration of housing programmes,84120,TTSYQ
Public administration of recreation programmes,84120,TTSYR
Public administration of research and development policies,84120,TTSYS
Public administration of social services programmes,84120,TTSYT
Public administration of sport programmes,84120,TTSYU
Recreational services administration (public sector),84120,TTSYV
"Regulation of health care, education, cultural and other social services, excluding social security",84120,TTSYW
Religious services administration (public sector),84120,TTSYX
Agricultural services administration and regulation (public sector),84130,TTSYY
Public administration of health programmes,84120,TTSYZ
Exhibition stand design,82301,TTSZQ
Exhibition stand hire,82301,TTSZR
Fair organiser,82301,TTSZS
Trade centre,82301,TTSZT
Trades exhibition organiser,82301,TTSZU
Conference organisers,82302,TTSZW
Agents and agencies in entertainment,74909,TTSZX
Agents and agencies in motion picture theatrical production,74909,TTSZY
Exhibition contracting and organising,82301,TTSZZ
Labour affairs services administration and regulation (public sector),84130,TTTQQ
Manufacturing services administration and regulation (public sector),84130,TTTQR
Mineral resource services administration and regulation (public sector),84130,TTTQS
Mining services administration and regulation (public sector),84130,TTTQT
Multipurpose development project services administration (public sector),84130,TTTQU
Regulation of and contribution to more efficient operation of businesses,84130,TTTQV
Tourism services administration and regulation (public sector),84130,TTTQW
Transport services administration and regulation (public sector),84130,TTTQX
Centralised supply and purchasing services (public sector),81100,TTTQY
Hunting services administration and regulation (public sector),84130,TTTQZ
Government records and archives maintenance and storage (public sector),91012,TTTRQ
Operational services of government owned or occupied buildings (public sector),81100,TTTRR
Consular services abroad administration and operation (public sector),84210,TTTRS
Economic aid missions accredited to foreign governments (public sector),84210,TTTRT
Foreign affairs,84210,TTTRU
Foreign economic aid services administration (public sector),84210,TTTRV
Information and cultural services abroad administration and operation (public sector),84210,TTTRW
International peace keeping forces contribution including assignment of manpower,84210,TTTRX
Military aid missions accredited to foreign governments (public sector),84210,TTTRY
General personnel administration and operational services (public sector),84110,TTTRZ
Refugee and hunger relief programmes abroad,88990,TTTSQ
Technical assistance and training programmes abroad (public sector),84210,TTTSR
Administration of defence-related research and development policies and related funds,84220,TTTSS
Administration supervision and operation of intelligence and other non-combat forces and commands,84220,TTTST
"Administration supervision and operation of engineering, and other non-combat forces and commands",84220,TTTSU
"Administration supervision and operation of land, sea, air and space defence forces",84220,TTTSV
Administration supervision and operation of military defence affairs,84220,TTTSW
Administration supervision and operation of reserve/auxiliary forces of the defence establishment,84220,TTTSX
"Administrative, operational and supervisory services related to civil defence",84220,TTTSY
Non-military aid programmes to developing countries (public sector),84210,TTTSZ
Army establishment (civilian personnel),84220,TTTTQ
Army establishment (service personnel),84220,TTTTR
Civil defence administration,84220,TTTTS
Defence activities,84220,TTTTT
Health activities for military personnel in the field,84220,TTTTU
Maritime search and rescue (military),84220,TTTTV
Military defence administration,84220,TTTTW
Military logistics,84220,TTTTX
Military ports,84220,TTTTY
"Administrative, operational and supervisory services related to military defence",84220,TTTTZ
Ministry of defence (forces personnel),84220,TTTUQ
Ministry of defence headquarters,84220,TTTUR
Pay and personnel agency (armed forces),84220,TTTUS
Princess mary's rafns,84220,TTTUT
Queen alexandra's ranc,84220,TTTUU
Queen alexandra's rnns,84220,TTTUV
Royal air force establishments (civilian personnel),84220,TTTUW
Royal air force establishments (service personnel),84220,TTTUX
Royal marines,84220,TTTUY
Ministry of defence (civilian personnel),84220,TTTUZ
Royal navy establishments (service personnel),84220,TTTVQ
Support for defence plans and exercises for civilians,84220,TTTVR
Territorial army,84220,TTTVS
Administration and operation of administrative civil and criminal law courts,84230,TTTVW
Appeal committee of the house of lords,84230,TTTVX
Arbitration of civil actions,84230,TTTVY
Royal navy establishments (civilian personnel),84220,TTTVZ
Coroners court,84230,TTTWQ
Correctional services,84230,TTTWR
County court,84230,TTTWS
Court of appeal,84230,TTTWT
Court of protection,84230,TTTWU
Court of session (scotland),84230,TTTWV
Court of the lord lyon,84230,TTTWW
Crown court,84230,TTTWX
Crown prosecution service,84230,TTTWY
Companies court,84230,TTTWZ
High court of justice,84230,TTTXQ
High court of justice in bankruptcy,84230,TTTXR
High court of justiciary (scotland),84230,TTTXS
Judge,84230,TTTXT
Judge advocates,84230,TTTXU
Justice and judicial activities,84230,TTTXV
Justice of the peace,84230,TTTXW
Local authority observation and assessment centres,84230,TTTXX
Detention centres,84230,TTTXZ
Military tribunals administration and operation,84230,TTTYQ
Official solicitor,84230,TTTYS
Pensions appeal tribunal,84230,TTTYT
Prison administration and operation,84230,TTTYU
Prisons (excluding naval and military),84230,TTTYV
Probate registry,84230,TTTYW
Registrars office (courts of justice),84230,TTTYX
Rehabilitation services for prisoners,84230,TTTYY
Magistrates' court,84230,TTTYZ
Commercial services administration and regulation (public sector),84130,TTTZQ
Communication services administration and regulation (public sector),84130,TTTZR
Construction services administration and regulation (public sector),84130,TTTZS
Distribution services administration and regulation (public sector),84130,TTTZT
Economic services administration and regulation (public sector),84130,TTTZU
Energy services administration and regulation (public sector),84130,TTTZV
Fishing services administration and regulation (public sector),84130,TTTZW
Forestry services administration and regulation (public sector),84130,TTTZX
Fuel services administration and regulation (public sector),84130,TTTZY
Catering trade services administration and regulation (public sector),84130,TTTZZ
Coast guards administration and operation,84240,TTUQQ
Criminal investigation department,84240,TTUQR
Law and order administration and operation,84240,TTUQS
Local authority school crossing patrols,84240,TTUQT
Local authority traffic wardens,84240,TTUQU
Metropolitan police commissioners office,84240,TTUQV
Police authorities,84240,TTUQW
Police records maintenance,84240,TTUQY
Border guard administration and operation,84240,TTUQZ
Provision of supplies for domestic emergency use in case of peacetime disasters,84240,TTURQ
Public order and safety activities,84240,TTURR
"Public order and safety administration, regulation and operation",84240,TTURS
Regional crime squad,84240,TTURT
School crossing patrols,84240,TTURU
Traffic regulation administration and operation,84240,TTURV
Traffic wardens,84240,TTURW
Auxiliary fire brigade services,84250,TTURX
Fire authorities,84250,TTURY
Port guards administration and operation,84240,TTURZ
Fire fighting and fire prevention,84250,TTUSQ
Fire service activities,84250,TTUSR
Local authority fire brigade services,84250,TTUSS
Marine fireboat services,84250,TTUST
Compulsory social security activities,84300,TTUSU
Compulsory social security administration concerning family and child benefits,84300,TTUSV
Compulsory social security administration concerning government employee pension schemes,84300,TTUSW
Compulsory social security administration concerning permanent loss of income due to disablement,84300,TTUSX
Compulsory social security administration concerning retirement pensions,84300,TTUSY
Fire brigades,84250,TTUSZ
Compulsory social security administration concerning unemployment benefits,84300,TTUTQ
"Funding and administration of government provided retirement pensions,",84300,TTUTR
"Funding and administration of government provided sickness, work-accident and unemployment insurance",84300,TTUTS
Church schools at nursery and pre-primary level,85100,TTUTT
Hospital schools at nursery and pre-primary level,85100,TTUTU
Infant schools,85200,TTUTV
Junior schools,85200,TTUTW
Kindergartens,85100,TTUTX
Middle schools deemed primary,85200,TTUTY
"Compulsory social security administration of sickness, maternity or temporary disablement benefits",84300,TTUTZ
Preparatory schools,85200,TTUUQ
Pre-primary education,85100,TTUUR
Primary and pre-primary education,85200,TTUUS
Primary education,85200,TTUUT
Primary schools,85200,TTUUU
Special schools at primary and pre-primary level,85200,TTUUV
Church schools at secondary level,85310,TTUUW
Comprehensive schools,85310,TTUUX
Convent schools at secondary level,85310,TTUUY
Nursery schools,85100,TTUUZ
Grammar schools,85310,TTUVQ
Hospital schools at secondary level,85310,TTUVR
Public schools,85310,TTUVS
School examination board,85310,TTUVT
Secondary level education,85310,TTUVU
Secondary modern schools,85310,TTUVV
Secondary schools,85310,TTUVW
Sixth form colleges,85310,TTUVX
Special schools at secondary level,85310,TTUVY
General secondary education,85310,TTUVZ
Apprentice school,85320,TTUWQ
Arts and crafts school,85320,TTUWR
Ballet school,85320,TTUWS
City and guilds of london institute,85320,TTUWT
Civil service college,85320,TTUWU
College of art,85320,TTUWW
College of music,85320,TTUWX
College of technology,85320,TTUWY
Agricultural college,85320,TTUWZ
Computer repair training,85320,TTUXQ
Cosmetology and barber schools,85320,TTUXR
"Driving schools for occupational drivers e.g. of trucks, buses, coaches",85320,TTUXS
Flying training for professional pilots,85320,TTUXT
Government training centre,85320,TTUXU
"Instruction for chefs, hoteliers and restaurateurs",85320,TTUXV
Management training establishment,85320,TTUXW
Military school,85320,TTUXX
Music teacher (own account),85320,TTUXY
Commercial school,85320,TTUXZ
Royal academy of dramatic art,85320,TTUYQ
School of arts and crafts,85320,TTUYR
School of speech and drama,85320,TTUYS
Secretarial college,85320,TTUYT
Seminary,85320,TTUYU
Technical and vocational education,85320,TTUYV
Technical and vocational secondary education,85320,TTUYW
Technical college,85320,TTUYX
Tertiary college,85320,TTUYY
Nautical school,85320,TTUYZ
Sheriff's court (scotland),84230,TTUZR
Stipendiary magistrates,84230,TTUZS
Supreme court of judicature,84230,TTUZT
Tribunals,84230,TTUZU
Young offender centres,84230,TTUZV
Administration and operation of regular and auxiliary police forces supported by public authorities,84240,TTUZW
Administration and operation of special police forces,84240,TTUZX
Alien registration administration and operation,84240,TTUZY
Remand centres,84230,TTUZZ
Dental college or school,85421,TTVQQ
First-degree level higher education,85421,TTVQR
Graduate school for business studies,85421,TTVQS
Higher education at the first degree level,85421,TTVQT
Law college,85421,TTVQU
Medical school,85421,TTVQV
Military college,85421,TTVQW
Open university,85421,TTVQX
Performing arts schools providing tertiary education,85421,TTVQY
Study leading to a one year post graduate certificate of education (pgce),85421,TTVRQ
Theological college specialising in higher education course,85421,TTVRR
University,85421,TTVRT
University college,85421,TTVRU
University medical or dental school,85421,TTVRV
Higher education at post-graduate level,85422,TTVRW
Post-graduate college,85422,TTVRX
Polytechnics,85421,TTVRZ
Driving school activities,85530,TTVSQ
Flying school activities (not type rating),85530,TTVSR
Flying schools not issuing commercial certificates and permits,85530,TTVSS
Sailing schools not issuing commercial certificates and permits,85530,TTVST
School of motoring,85530,TTVSU
Ship licence tuition (not commercial certificates),85530,TTVSV
Shipping schools not issuing commercial certificates and permits,85530,TTVSW
Academic tutoring,85590,TTVSX
Adult education centre,85590,TTVSY
Driving instruction,85530,TTVSZ
Art instruction,85520,TTVTQ
Computer training,85590,TTVTR
Continuation school,85590,TTVTS
Correspondence college (not leading to degree level qualifications),85590,TTVTT
Council for accreditation of correspondence colleges,85590,TTVTU
Cultural education,85520,TTVTV
Day continuation school,85590,TTVTW
Fine arts schools (except academic),85520,TTVTX
Language instruction and conversational skills instruction,85590,TTVTY
Adult education residential college,85590,TTVTZ
Lifeguard training,85590,TTVUQ
Mentally handicapped adult training,85590,TTVUR
National institute for adult continuing education,85590,TTVUS
Other adult and other education n.e.c.,85590,TTVUT
Other education n.e.c.,85590,TTVUU
Performing arts schools (except academic),85520,TTVUV
Photography schools (except commercial),85520,TTVUW
Piano teachers and other music instruction,85520,TTVUX
Professional examination review courses,85590,TTVUY
Learning centres offering remedial courses,85590,TTVUZ
Religious instruction,85590,TTVVQ
Speed reading instruction,85590,TTVVR
Survival training,85590,TTVVS
Teacher n.e.c.,85590,TTVVT
Workers' educational association,85590,TTVVU
Accident and emergency service (public sector),86101,TTVVV
Anaesthetist (public sector),86101,TTVVW
Asylums (public sector),86101,TTVVX
Central sterile supply department (public sector),86101,TTVVY
Public speaking training,85590,TTVVZ
Chronic sick hospital (public sector),86101,TTVWQ
Convalescent home (public sector providing medical care),86101,TTVWR
Dental hospital (public sector),86101,TTVWS
"Ear, nose and throat hospital (public sector)",86101,TTVWT
"Ear, nose and throat specialist (public sector)",86101,TTVWU
Eye hospital (public sector),86101,TTVWV
Eye specialist (public sector),86101,TTVWW
General hospital (public sector),86101,TTVWX
General hospital psychiatric unit (public sector),86101,TTVWY
Children's hospital (public sector),86101,TTVWZ
Genito-urinary specialist (public sector),86101,TTVXQ
Geriatric hospital (public sector),86101,TTVXR
Geriatrician (public sector),86101,TTVXS
Gynaecologist (public sector),86101,TTVXT
Haematologist (public sector),86101,TTVXU
Hospice (public sector),86101,TTVXV
Hospital activities,86101,TTVXW
Hospital activities (public sector),86101,TTVXX
Infectious disease hospital (public sector),86101,TTVXY
General medical consultant (public sector),86101,TTVXZ
Infirmary (public sector),86101,TTVYQ
Isolation hospital (public sector),86101,TTVYR
Leprosaria (public sector),86101,TTVYS
Maternity hospital (public sector),86101,TTVYT
Medical consultant (public sector),86101,TTVYU
Mental handicap hospital (public sector),86101,TTVYV
Mental health specialist (public sector),86101,TTVYW
Mental hospital (public sector),86101,TTVYX
Military base hospitals,86101,TTVYY
Infectious disease specialist (public sector),86101,TTVYZ
College of nursing,85410,TTVZR
Higher education (sub degree level),85410,TTVZS
Post-secondary non-tertiary education,85410,TTVZT
Post-secondary non-tertiary vocational education,85410,TTVZU
School of languages,85410,TTVZV
Vocational education at post-secondary non-tertial level,85410,TTVZW
College of higher education (degree level),85421,TTVZX
Correspondence college specialising in higher education courses (degree level),85421,TTVZY
Tourist guide instruction,85320,TTVZZ
Residential care in rehabilitation health centres (public sector),87200,TTWQQ
Sanatoria providing hospital type care (public sector),86101,TTWQR
Smallpox hospital (public sector),86101,TTWQS
Social medicine specialist (public sector),86101,TTWQT
Special hospital (public sector),86101,TTWQU
Surgeon (public sector),86101,TTWQV
Tuberculosis hospital (public sector),86101,TTWQW
Urologist (public sector),86101,TTWQX
Accident and emergency service (private sector),86101,TTWQY
Residential care in alcoholism or drug addiction treatment facilities (public sector),87200,TTWQZ
Central sterile supply department (private sector),86101,TTWRQ
Children's hospital (private sector),86101,TTWRR
Chronic sick hospital (private sector),86101,TTWRS
Convalescent home (private sector providing medical care),86101,TTWRT
Dental hospital (private sector),86101,TTWRU
"Ear, nose and throat hospital (private sector)",86101,TTWRV
Eye hospital (private sector),86101,TTWRW
General medicine consultant (private sector),86101,TTWRX
Geriatric hospital (private sector),86101,TTWRY
Asylums (private sector),86101,TTWRZ
Hospital activities (private sector),86101,TTWSQ
Infirmary (private sector),86101,TTWSR
Maternity hospital (private sector),86101,TTWSS
Mental hospital (private sector),86101,TTWST
Ophthalmic hospital (private sector),86101,TTWSU
Orthopaedic hospital (private sector),86101,TTWSV
Pre-convalescent hospital (private sector),86101,TTWSW
Private hospital,86101,TTWSX
Psychiatric unit (private sector),86101,TTWSY
Hospice (private sector),86101,TTWSZ
Residential care in alcoholism or drug addiction treatment facilities (private sector),87200,TTWTQ
Residential care in rehabilitation centres (private sector),87200,TTWTR
